x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1230,457,101,1081,429,760,502,563,281,965
656,545,96,956,797,1006,508,283,812,925
339,627,93,546,473,165,499,505,588,709
520,369,108,726,283,396,508,289,154,832
460,996,97,809,335,870,507,268,722,710
705,932,91,852,376,529,501,412,949,990
1123,628,97,836,712,378,505,591,661,664
658,810,107,860,960,188,506,368,490,1000
731,615,99,1567,380,627,516,630,569,431
428,1192,102,1077,536,504,499,370,437,301
157,732,105,278,622,501,515,607,779,470
494,1037,107,817,654,964,516,324,438,842
529,891,117,1145,670,99,499,292,615,413
575,851,107,774,628,-12,507,726,686,728
752,1153,111,914,409,484,512,17,452,719
716,673,104,613,503,86,504,659,1047,535
564,649,115,789,495,169,506,764,1205,515
709,1208,108,973,252,572,505,672,493,915
610,1239,116,669,170,1044,509,1004,904,749
720,403,107,950,758,802,514,955,1252,777
395,961,104,1106,193,1229,508,424,493,1141
663,564,100,653,659,462,511,403,1075,784
139,241,113,1222,542,1396,511,-63,966,1294
416,-27,113,1248,392,765,504,129,477,608
156,1043,115,942,690,490,520,452,692,668
752,817,107,761,192,841,527,610,262,766
1296,310,98,-16,539,615,519,201,753,849
989,809,111,525,766,948,531,338,558,685
310,743,117,842,704,209,530,161,226,734
321,1046,106,777,288,819,522,252,710,1061
974,319,107,1129,271,167,532,-170,442,666
521,490,113,589,761,1265,541,301,362,728
265,62,115,1289,518,672,531,236,508,517
593,438,104,604,434,806,542,623,1010,456
572,1113,105,450,470,306,539,1032,-220,756
1051,1237,107,352,349,644,549,56,880,755
526,1040,104,742,762,500,546,-71,596,1240
551,647,112,1633,1009,589,552,604,580,722
668,185,108,802,449,894,549,303,720,755
335,726,107,396,263,648,559,828,587,892
864,604,100,788,530,886,562,563,471,660
547,1102,107,1107,518,155,566,455,411,176
572,693,110,541,556,288,559,106,775,808
195,788,107,633,124,925,569,549,286,871
227,260,98,792,349,403,574,374,418,793
684,482,103,1272,257,1201,569,643,1165,671
1131,520,117,630,387,769,570,439,346,730
638,1322,107,342,891,999,571,569,162,363
985,98,116,1698,712,576,566,598,1103,719
860,164,98,328,415,1112,571,946,776,393
908,420,113,750,592,755,562,329,1036,594
555,691,100,810,646,477,577,747,103,854
303,314,101,865,497,258,569,311,599,879
640,793,107,1304,389,53,578,824,567,902
930,562,111,600,466,1177,570,425,710,526
509,265,105,431,469,748,585,-112,353,560
664,606,106,837,405,-11,569,546,482,791
345,417,107,1102,704,942,579,84,1010,778
146,492,106,1290,377,218,572,83,807,718
959,744,98,1102,475,280,585,370,559,448
1196,-2,98,1282,207,861,582,465,353,762
246,1218,113,670,293,1014,575,232,809,679
742,700,107,465,458,1080,584,721,362,581
675,908,104,854,326,622,577,371,844,477
628,818,116,557,482,750,590,827,47,853
354,351,98,1157,739,710,574,701,969,773
633,1108,107,1026,66,36,585,338,1284,499
464,752,98,653,375,30,577,558,757,477
483,833,112,827,406,342,583,1392,290,707
671,318,116,1179,651,729,594,275,550,666
629,503,113,696,693,623,590,995,517,1077
946,-143,109,328,606,402,580,450,1148,762
622,613,107,541,664,554,590,52,616,533
666,741,116,482,396,696,589,599,501,337
665,903,107,289,193,380,597,421,612,953
455,944,100,785,553,493,595,1052,160,404
518,190,104,729,332,-220,582,278,357,1236
419,797,107,627,439,689,592,825,463,585
589,233,111,827,455,484,602,240,401,302
653,1036,111,651,588,573,589,686,578,755
503,596,109,637,505,835,602,455,537,443
984,714,112,1295,618,591,590,669,421,845
-128,885,107,1799,872,832,599,149,824,831
508,1074,99,1187,399,709,609,15,1049,973
939,1023,106,1058,362,498,609,551,670,413
1205,369,108,844,722,391,619,136,495,842
498,274,100,324,179,533,615,230,963,981
934,1020,98,967,387,737,620,510,185,839
211,734,98,240,537,811,609,884,912,775
432,224,107,521,684,833,627,938,787,788
207,1035,102,385,826,964,618,260,260,917
348,926,111,774,768,221,610,946,886,864
671,384,112,1716,651,436,618,179,-64,1215
990,194,102,352,541,-396,614,846,933,808
421,895,112,569,340,648,609,79,484,1318
63,701,102,1447,674,262,617,1396,299,717
523,806,101,1385,147,916,611,-110,172,1053
726,518,112,1001,737,826,608,878,687,487
450,720,92,832,663,754,626,469,1228,403
520,132,108,198,247,428,616,293,997,796
714,554,100,1012,249,1135,609,568,427,847
899,619,109,952,774,812,617,209,501,1046
1360,716,90,570,838,717,610,431,680,1111
751,263,97,741,211,627,604,516,835,756
982,914,90,108,470,501,613,699,797,817
874,1211,94,153,365,360,619,447,864,603
554,859,101,907,218,910,612,379,67,337
609,512,98,1139,405,102,602,481,509,611
459,220,95,948,386,366,598,304,930,809
1314,1346,101,556,155,832,593,601,822,643
800,770,93,674,482,1015,586,520,932,640
582,914,102,1087,279,201,586,646,1300,533
585,356,96,797,623,-17,592,576,521,642
597,782,85,1460,473,-287,584,467,771,823
539,801,88,421,247,344,574,589,215,640
822,432,83,399,780,638,573,619,1013,832
269,903,84,1097,410,-120,564,1208,569,1189
265,555,81,1368,773,717,577,618,865,866
539,266,80,759,548,678,568,310,797,737
1096,1328,98,407,485,633,581,-295,452,797
242,1414,87,1086,755,805,574,355,751,656
303,930,79,400,618,748,566,665,1369,783
605,1106,84,861,788,432,580,13,389,696
701,176,96,841,426,345,564,720,507,336
579,1088,85,1249,514,986,584,688,399,594
478,803,87,1332,480,186,573,397,366,1028
405,476,77,802,475,64,574,560,327,943
1187,1217,91,711,757,924,580,465,521,1097
495,178,94,406,484,1317,563,795,258,957
467,1719,93,995,980,644,572,440,991,597
805,917,92,558,291,1266,569,719,433,413
790,939,86,1277,365,487,560,324,609,702
736,1083,78,559,787,816,565,40,150,725
345,703,79,560,376,993,565,630,985,634
403,564,83,1125,697,790,553,169,1358,841
921,566,88,966,677,608,544,566,986,919
617,910,97,1330,732,851,537,898,1117,753
418,255,94,453,663,837,551,237,601,845
365,734,81,796,763,502,551,613,329,673
400,1060,78,1183,387,449,552,501,482,606
810,926,83,852,327,487,542,620,44,966
692,452,91,550,-54,1156,535,-30,828,729
414,828,87,396,636,480,543,522,1015,710
522,547,95,799,553,371,539,554,874,685
1271,495,82,1253,670,372,544,548,613,1201
525,189,98,978,222,1317,532,393,249,949
541,238,94,859,466,780,522,56,503,517
209,322,93,1053,800,441,518,1084,278,895
1039,186,85,483,354,505,522,723,1296,856
370,574,99,1008,440,481,521,352,940,688
971,137,98,760,748,1013,511,608,442,687
832,748,89,698,768,218,520,269,545,1144
531,532,107,1629,331,305,501,397,361,745
280,372,108,1616,438,366,514,64,544,846
485,661,96,997,585,330,513,500,-3,497
619,738,106,698,639,830,501,523,804,1040
428,680,99,682,413,522,512,932,917,624
828,555,104,789,497,612,503,150,399,1150
165,511,109,727,253,521,511,609,531,607
423,1096,105,1022,474,822,503,205,166,893
890,454,115,761,697,666,500,264,711,833
674,856,120,1595,612,1097,510,578,778,930
466,273,124,440,532,542,508,407,919,823
1038,1045,116,105,509,866,492,593,320,468
1180,629,113,695,391,217,508,632,531,712
733,776,123,928,670,759,499,805,1134,626
158,517,133,350,558,45,498,286,642,1080
559,926,139,724,749,373,502,1083,1034,674
237,710,123,1236,372,1070,492,379,214,709
827,897,140,174,484,1318,498,556,674,717
1416,1025,150,1689,503,442,499,489,753,504
532,1253,150,1232,643,825,506,427,1011,420
1115,783,152,830,628,901,506,586,660,719
730,1514,152,1148,580,745,509,642,-33,971
515,1019,140,1661,78,110,496,770,787,785
712,519,145,1197,298,933,490,789,491,1112
589,1143,151,1185,533,917,499,20,447,681
526,722,151,1185,443,274,508,858,681,932
554,696,143,1226,686,247,493,1058,869,487
481,942,155,-146,669,431,506,903,976,673
13,489,156,141,383,693,504,355,564,986
1392,467,165,985,408,840,509,430,771,592
491,991,169,620,701,245,509,-40,681,1035
275,700,170,729,633,222,516,789,923,766
925,321,169,947,330,446,526,712,1007,820
582,1304,160,323,519,388,527,208,771,786
242,1107,174,104,373,391,530,600,377,1147
-82,993,168,906,323,356,539,108,1013,776
254,822,159,1007,488,1413,549,1028,1039,662
465,855,167,1092,788,408,531,182,573,434
913,623,167,1274,340,547,542,141,863,547
1083,665,177,844,559,255,539,-12,702,972
231,806,163,1002,338,634,541,478,656,823
583,295,172,981,467,735,550,692,857,605
847,962,164,789,496,173,549,272,1225,727
1181,837,155,664,378,1146,554,119,530,990
489,1193,160,309,669,574,545,556,852,874
966,891,162,1528,618,1121,557,410,267,698
869,847,152,1279,237,298,545,409,621,767
637,891,163,835,294,858,545,184,121,695
351,553,153,296,335,884,556,418,607,587
469,709,144,502,804,309,562,638,767,783
563,733,144,1423,622,25,562,552,-122,997
616,543,149,796,443,739,561,54,382,759
565,656,143,671,538,572,567,570,672,873
819,204,145,734,230,721,564,873,817,850
1043,617,141,1188,335,733,561,1066,895,1086
764,1113,146,1063,829,822,559,579,610,781
233,1034,136,584,388,589,563,471,65,611
